ClassCode,UcCode,Weekday,StartHour,Duration,Type
1LEIC01,L.EIC001,Monday,10.5,1.5,TP
1LEIC02,L.EIC001,Thursday,9.5,1.5,TP
1LEIC03,L.EIC001,Tuesday,9,1.5,TP
1LEIC04,L.EIC001,Wednesday,10.5,1.5,TP
1LEIC05,L.EIC001,Tuesday,9,1.5,TP
1LEIC06,L.EIC001,Thursday,9.5,1.5,TP
1LEIC07,L.EIC001,Friday,11,1.5,TP
1LEIC09,L.EIC001,Thursday,11,1.5,TP
1LEIC10,L.EIC001,Wednesday,9,1.5,TP
1LEIC11,L.EIC001,Monday,9,1.5,TP
1LEIC12,L.EIC001,Thursday,11,1.5,TP
1LEIC13,L.EIC001,Tuesday,10.5,1.5,TP
1LEIC15,L.EIC001,Friday,9.5,1.5,TP
1LEIC09,L.EIC001,Tuesday,9,1.5,T
1LEIC10,L.EIC001,Tuesday,9,1.5,T
1LEIC11,L.EIC001,Tuesday,9,1.5,T
1LEIC12,L.EIC001,Tuesday,9,1.5,T
1LEIC13,L.EIC001,Tuesday,9,1.5,T
1LEIC15,L.EIC001,Tuesday,9,1.5,T
1LEIC01,L.EIC001,Tuesday,10.5,1.5,T
1LEIC02,L.EIC001,Tuesday,10.5,1.5,T
1LEIC03,L.EIC001,Tuesday,10.5,1.5,T
1LEIC04,L.EIC001,Tuesday,10.5,1.5,T
1LEIC05,L.EIC001,Tuesday,10.5,1.5,T
1LEIC06,L.EIC001,Tuesday,10.5,1.5,T
1LEIC07,L.EIC001,Tuesday,10.5,1.5,T
1LEIC01,L.EIC002,Tuesday,8.5,2,TP
1LEIC02,L.EIC002,Monday,10.5,2,TP
1LEIC03,L.EIC002,Thursday,9,2,TP
1LEIC04,L.EIC002,Friday,11,2,TP
1LEIC05,L.EIC002,Monday,10.5,2,TP
1LEIC06,L.EIC002,Monday,10.5,2,TP
1LEIC07,L.EIC002,Monday,10.5,2,TP
1LEIC08,L.EIC002,Tuesday,8.5,2,TP
1LEIC09,L.EIC002,Tuesday,10.5,2,TP
1LEIC10,L.EIC002,Tuesday,10.5,2,TP
1LEIC11,L.EIC002,Friday,9,2,TP
1LEIC12,L.EIC002,Wednesday,8.5,2,TP
1LEIC13,L.EIC002,Wednesday,8.5,2,TP
1LEIC14,L.EIC002,Monday,8.5,2,TP
1LEIC15,L.EIC002,Thursday,11,2,TP
1LEIC09,L.EIC002,Monday,10.5,2,T
1LEIC10,L.EIC002,Monday,10.5,2,T
1LEIC11,L.EIC002,Monday,10.5,2,T
1LEIC12,L.EIC002,Monday,10.5,2,T
1LEIC13,L.EIC002,Monday,10.5,2,T
1LEIC14,L.EIC002,Monday,10.5,2,T
1LEIC15,L.EIC002,Monday,10.5,2,T
1LEIC01,L.EIC002,Monday,8.5,2,T
1LEIC02,L.EIC002,Monday,8.5,2,T
1LEIC03,L.EIC002,Monday,8.5,2,T
1LEIC04,L.EIC002,Monday,8.5,2,T
1LEIC05,L.EIC002,Monday,8.5,2,T
1LEIC06,L.EIC002,Monday,8.5,2,T
1LEIC07,L.EIC002,Monday,8.5,2,T
1LEIC08,L.EIC002,Monday,8.5,2,T
1LEIC01,L.EIC003,Thursday,9,2,TP
1LEIC02,L.EIC003,Tuesday,8.5,2,TP
1LEIC03,L.EIC003,Friday,11,2,TP
1LEIC04,L.EIC003,Thursday,8,2,TP
1LEIC05,L.EIC003,Thursday,8,2,TP
1LEIC06,L.EIC003,Tuesday,8.5,2,TP
1LEIC07,L.EIC003,Wednesday,10.5,2,TP
1LEIC08,L.EIC003,Monday,10.5,2,TP
1LEIC09,L.EIC003,Monday,8.5,2,TP
1LEIC10,L.EIC003,Friday,8.5,2,TP
1LEIC11,L.EIC003,Tuesday,10.5,2,TP
1LEIC12,L.EIC003,Monday,8.5,2,TP
1LEIC13,L.EIC003,Thursday,11,2,TP
1LEIC14,L.EIC003,Friday,9,2,TP
1LEIC15,L.EIC003,Tuesday,10.5,2,TP
1LEIC16,L.EIC003,Wednesday,8.5,2,TP
1LEIC09,L.EIC003,Thursday,10,1,T
1LEIC10,L.EIC003,Thursday,10,1,T
1LEIC11,L.EIC003,Thursday,10,1,T
1LEIC12,L.EIC003,Thursday,10,1,T
1LEIC13,L.EIC003,Thursday,10,1,T
1LEIC14,L.EIC003,Thursday,10,1,T
1LEIC15,L.EIC003,Thursday,10,1,T
1LEIC16,L.EIC003,Thursday,10,1,T
1LEIC09,L.EIC003,Wednesday,10.5,1,T
1LEIC10,L.EIC003,Wednesday,10.5,1,T
1LEIC11,L.EIC003,Wednesday,10.5,1,T
1LEIC12,L.EIC003,Wednesday,10.5,1,T
1LEIC13,L.EIC003,Wednesday,10.5,1,T
1LEIC14,L.EIC003,Wednesday,10.5,1,T
1LEIC15,L.EIC003,Wednesday,10.5,1,T
1LEIC16,L.EIC003,Wednesday,10.5,1,T
1LEIC01,L.EIC003,Friday,10,1,T
1LEIC02,L.EIC003,Friday,10,1,T
1LEIC03,L.EIC003,Friday,10,1,T
1LEIC04,L.EIC003,Friday,10,1,T
1LEIC05,L.EIC003,Friday,10,1,T
1LEIC06,L.EIC003,Friday,10,1,T
1LEIC07,L.EIC003,Friday,10,1,T
1LEIC08,L.EIC003,Friday,10,1,T
1LEIC01,L.EIC003,Wednesday,9.5,1,T
1LEIC02,L.EIC003,Wednesday,9.5,1,T
1LEIC03,L.EIC003,Wednesday,9.5,1,T
1LEIC04,L.EIC003,Wednesday,9.5,1,T
1LEIC05,L.EIC003,Wednesday,9.5,1,T
1LEIC06,L.EIC003,Wednesday,9.5,1,T
1LEIC07,L.EIC003,Wednesday,9.5,1,T
1LEIC08,L.EIC003,Wednesday,9.5,1,T
1LEIC01,L.EIC004,Wednesday,10.5,2,TP
1LEIC02,L.EIC004,Wednesday,10.5,2,TP
1LEIC03,L.EIC004,Wednesday,10.5,2,TP
1LEIC04,L.EIC004,Tuesday,8.5,2,TP
1LEIC05,L.EIC004,Friday,11,2,TP
1LEIC06,L.EIC004,Friday,11,2,TP
1LEIC07,L.EIC004,Thursday,9,2,TP
1LEIC08,L.EIC004,Thursday,8.5,2,TP
1LEIC09,L.EIC004,Wednesday,8.5,2,TP
1LEIC10,L.EIC004,Monday,8.5,2,TP
1LEIC11,L.EIC004,Thursday,11,2,TP
1LEIC12,L.EIC004,Friday,9,2,TP
1LEIC13,L.EIC004,Friday,9,2,TP
1LEIC14,L.EIC004,Thursday,11,2,TP
1LEIC15,L.EIC004,Wednesday,8.5,2,TP
1LEIC16,L.EIC004,Tuesday,10.5,2,TP
1LEIC09,L.EIC004,Thursday,8,2,T
1LEIC10,L.EIC004,Thursday,8,2,T
1LEIC11,L.EIC004,Thursday,8,2,T
1LEIC12,L.EIC004,Thursday,8,2,T
1LEIC13,L.EIC004,Thursday,8,2,T
1LEIC14,L.EIC004,Thursday,8,2,T
1LEIC15,L.EIC004,Thursday,8,2,T
1LEIC16,L.EIC004,Thursday,8,2,T
1LEIC01,L.EIC004,Thursday,11,2,T
1LEIC02,L.EIC004,Thursday,11,2,T
1LEIC03,L.EIC004,Thursday,11,2,T
1LEIC04,L.EIC004,Thursday,11,2,T
1LEIC05,L.EIC004,Thursday,11,2,T
1LEIC06,L.EIC004,Thursday,11,2,T
1LEIC07,L.EIC004,Thursday,11,2,T
1LEIC08,L.EIC004,Thursday,11,2,T
1LEIC01,L.EIC005,Friday,11,2,TP
1LEIC02,L.EIC005,Friday,11,2,TP
1LEIC03,L.EIC005,Monday,10.5,2,TP
1LEIC04,L.EIC005,Monday,10.5,2,TP
1LEIC05,L.EIC005,Wednesday,10.5,2,TP
1LEIC06,L.EIC005,Wednesday,10.5,2,TP
1LEIC07,L.EIC005,Tuesday,8.5,2,TP
1LEIC08,L.EIC005,Wednesday,10.5,2,TP
1LEIC09,L.EIC005,Friday,9,2,TP
1LEIC10,L.EIC005,Thursday,11,2,TP
1LEIC11,L.EIC005,Wednesday,8.5,2,TP
1LEIC12,L.EIC005,Tuesday,10.5,2,TP
1LEIC13,L.EIC005,Monday,8.5,2,TP
1LEIC14,L.EIC005,Wednesday,8.5,2,TP
1LEIC15,L.EIC005,Monday,8.5,2,TP
1LEIC01,L.EIC005,Friday,8,2,T
1LEIC02,L.EIC005,Friday,8,2,T
1LEIC03,L.EIC005,Friday,8,2,T
1LEIC04,L.EIC005,Friday,8,2,T
1LEIC05,L.EIC005,Friday,8,2,T
1LEIC06,L.EIC005,Friday,8,2,T
1LEIC07,L.EIC005,Friday,8,2,T
1LEIC08,L.EIC005,Friday,8,2,T
1LEIC09,L.EIC005,Friday,11,2,T
1LEIC10,L.EIC005,Friday,11,2,T
1LEIC11,L.EIC005,Friday,11,2,T
1LEIC12,L.EIC005,Friday,11,2,T
1LEIC13,L.EIC005,Friday,11,2,T
1LEIC14,L.EIC005,Friday,11,2,T
1LEIC15,L.EIC005,Friday,11,2,T
2LEIC01,L.EIC011,Thursday,15.5,2,TP
2LEIC02,L.EIC011,Tuesday,8.5,2,TP
2LEIC03,L.EIC011,Thursday,15.5,2,TP
2LEIC04,L.EIC011,Wednesday,11,2,TP
2LEIC05,L.EIC011,Friday,16,2,TP
2LEIC06,L.EIC011,Thursday,15.5,2,TP
2LEIC07,L.EIC011,Friday,16,2,TP
2LEIC08,L.EIC011,Monday,17,2,TP
2LEIC09,L.EIC011,Thursday,17.5,2,TP
2LEIC10,L.EIC011,Thursday,17.5,2,TP
2LEIC11,L.EIC011,Monday,14.5,2,TP
2LEIC12,L.EIC011,Wednesday,8.5,2,TP
2LEIC13,L.EIC011,Friday,14,2,TP
2LEIC14,L.EIC011,Friday,14,2,TP
2LEIC15,L.EIC011,Tuesday,10.5,2,TP
2LEIC01,L.EIC011,Wednesday,10,1,T
2LEIC02,L.EIC011,Wednesday,10,1,T
2LEIC03,L.EIC011,Wednesday,10,1,T
2LEIC04,L.EIC011,Wednesday,10,1,T
2LEIC05,L.EIC011,Wednesday,10,1,T
2LEIC06,L.EIC011,Wednesday,10,1,T
2LEIC07,L.EIC011,Wednesday,10,1,T
2LEIC08,L.EIC011,Wednesday,10,1,T
2LEIC01,L.EIC011,Tuesday,10.5,1,T
2LEIC02,L.EIC011,Tuesday,10.5,1,T
2LEIC03,L.EIC011,Tuesday,10.5,1,T
2LEIC04,L.EIC011,Tuesday,10.5,1,T
2LEIC05,L.EIC011,Tuesday,10.5,1,T
2LEIC06,L.EIC011,Tuesday,10.5,1,T
2LEIC07,L.EIC011,Tuesday,10.5,1,T
2LEIC08,L.EIC011,Tuesday,10.5,1,T
2LEIC09,L.EIC011,Thursday,14.5,1,T
2LEIC10,L.EIC011,Thursday,14.5,1,T
2LEIC11,L.EIC011,Thursday,14.5,1,T
2LEIC12,L.EIC011,Thursday,14.5,1,T
2LEIC13,L.EIC011,Thursday,14.5,1,T
2LEIC14,L.EIC011,Thursday,14.5,1,T
2LEIC15,L.EIC011,Thursday,14.5,1,T
2LEIC09,L.EIC011,Tuesday,8,1,T
2LEIC10,L.EIC011,Tuesday,8,1,T
2LEIC11,L.EIC011,Tuesday,8,1,T
2LEIC12,L.EIC011,Tuesday,8,1,T
2LEIC13,L.EIC011,Tuesday,8,1,T
2LEIC14,L.EIC011,Tuesday,8,1,T
2LEIC15,L.EIC011,Tuesday,8,1,T
2LEIC01,L.EIC012,Wednesday,11,2,TP
2LEIC02,L.EIC012,Monday,17,2,TP
2LEIC03,L.EIC012,Wednesday,11,2,TP
2LEIC04,L.EIC012,Tuesday,8.5,2,TP
2LEIC05,L.EIC012,Thursday,15.5,2,TP
2LEIC06,L.EIC012,Monday,17,2,TP
2LEIC07,L.EIC012,Monday,17,2,TP
2LEIC08,L.EIC012,Friday,16,2,TP
2LEIC09,L.EIC012,Wednesday,8.5,2,TP
2LEIC10,L.EIC012,Friday,14,2,TP
2LEIC11,L.EIC012,Tuesday,10.5,2,TP
2LEIC12,L.EIC012,Monday,14.5,2,TP
2LEIC13,L.EIC012,Thursday,17.5,2,TP
2LEIC14,L.EIC012,Wednesday,8.5,2,TP
2LEIC15,L.EIC012,Monday,14.5,2,TP
2LEIC01,L.EIC012,Thursday,17.5,1,T
2LEIC02,L.EIC012,Thursday,17.5,1,T
2LEIC03,L.EIC012,Thursday,17.5,1,T
2LEIC04,L.EIC012,Thursday,17.5,1,T
2LEIC05,L.EIC012,Thursday,17.5,1,T
2LEIC06,L.EIC012,Thursday,17.5,1,T
2LEIC07,L.EIC012,Thursday,17.5,1,T
2LEIC08,L.EIC012,Thursday,17.5,1,T
2LEIC01,L.EIC012,Monday,16,1,T
2LEIC02,L.EIC012,Monday,16,1,T
2LEIC03,L.EIC012,Monday,16,1,T
2LEIC04,L.EIC012,Monday,16,1,T
2LEIC05,L.EIC012,Monday,16,1,T
2LEIC06,L.EIC012,Monday,16,1,T
2LEIC07,L.EIC012,Monday,16,1,T
2LEIC08,L.EIC012,Monday,16,1,T
2LEIC09,L.EIC012,Wednesday,10.5,1,T
2LEIC10,L.EIC012,Wednesday,10.5,1,T
2LEIC11,L.EIC012,Wednesday,10.5,1,T
2LEIC12,L.EIC012,Wednesday,10.5,1,T
2LEIC13,L.EIC012,Wednesday,10.5,1,T
2LEIC14,L.EIC012,Wednesday,10.5,1,T
2LEIC15,L.EIC012,Wednesday,10.5,1,T
2LEIC09,L.EIC012,Friday,18,1,T
2LEIC10,L.EIC012,Friday,18,1,T
2LEIC11,L.EIC012,Friday,18,1,T
2LEIC12,L.EIC012,Friday,18,1,T
2LEIC13,L.EIC012,Friday,18,1,T
2LEIC14,L.EIC012,Friday,18,1,T
2LEIC15,L.EIC012,Friday,18,1,T
2LEIC01,L.EIC013,Monday,17,1.5,TP
2LEIC02,L.EIC013,Thursday,16,1.5,TP
2LEIC03,L.EIC013,Friday,16,1.5,TP
2LEIC04,L.EIC013,Thursday,16,1.5,TP
2LEIC05,L.EIC013,Monday,17,1.5,TP
2LEIC06,L.EIC013,Friday,16,1.5,TP
2LEIC07,L.EIC013,Thursday,16,1.5,TP
2LEIC08,L.EIC013,Tuesday,9,1.5,TP
2LEIC09,L.EIC013,Friday,14.5,1.5,TP
2LEIC10,L.EIC013,Monday,15,1.5,TP
2LEIC11,L.EIC013,Friday,14.5,1.5,TP
2LEIC12,L.EIC013,Thursday,17.5,1.5,TP
2LEIC13,L.EIC013,Monday,15,1.5,TP
2LEIC14,L.EIC013,Tuesday,10.5,1.5,TP
2LEIC15,L.EIC013,Thursday,17.5,1.5,TP
2LEIC16,L.EIC013,Thursday,17.5,1.5,TP
2LEIC01,L.EIC013,Tuesday,11.5,1.5,T
2LEIC02,L.EIC013,Tuesday,11.5,1.5,T
2LEIC03,L.EIC013,Tuesday,11.5,1.5,T
2LEIC04,L.EIC013,Tuesday,11.5,1.5,T
2LEIC05,L.EIC013,Tuesday,11.5,1.5,T
2LEIC06,L.EIC013,Tuesday,11.5,1.5,T
2LEIC07,L.EIC013,Tuesday,11.5,1.5,T
2LEIC08,L.EIC013,Tuesday,11.5,1.5,T
2LEIC09,L.EIC013,Monday,16.5,1.5,T
2LEIC10,L.EIC013,Monday,16.5,1.5,T
2LEIC11,L.EIC013,Monday,16.5,1.5,T
2LEIC12,L.EIC013,Monday,16.5,1.5,T
2LEIC13,L.EIC013,Monday,16.5,1.5,T
2LEIC14,L.EIC013,Monday,16.5,1.5,T
2LEIC15,L.EIC013,Monday,16.5,1.5,T
2LEIC16,L.EIC013,Monday,16.5,1.5,T
2LEIC01,L.EIC014,Tuesday,8.5,2,PL
2LEIC02,L.EIC014,Friday,16,2,PL
2LEIC03,L.EIC014,Tuesday,8.5,2,PL
2LEIC04,L.EIC014,Friday,16,2,PL
2LEIC05,L.EIC014,Wednesday,11,2,PL
2LEIC06,L.EIC014,Wednesday,11,2,PL
2LEIC07,L.EIC014,Tuesday,8.5,2,PL
2LEIC08,L.EIC014,Thursday,15.5,2,PL
2LEIC09,L.EIC014,Monday,14.5,2,PL
2LEIC10,L.EIC014,Wednesday,8.5,2,PL
2LEIC11,L.EIC014,Wednesday,8.5,2,PL
2LEIC12,L.EIC014,Tuesday,10.5,2,PL
2LEIC13,L.EIC014,Tuesday,10.5,2,PL
2LEIC14,L.EIC014,Thursday,17.5,2,PL
2LEIC15,L.EIC014,Friday,14,2,PL
2LEIC16,L.EIC014,Friday,14,2,PL
2LEIC01,L.EIC014,Friday,14,2,T
