UcCode,ClassCode
L.EIC001,1LEIC01
L.EIC001,1LEIC02
L.EIC001,1LEIC03
L.EIC001,1LEIC04
L.EIC001,1LEIC05
L.EIC001,1LEIC06
L.EIC001,1LEIC07
L.EIC001,1LEIC09
L.EIC001,1LEIC10
L.EIC001,1LEIC11
L.EIC001,1LEIC12
L.EIC001,1LEIC13
L.EIC001,1LEIC15
L.EIC002,1LEIC01
L.EIC002,1LEIC02
L.EIC002,1LEIC03
L.EIC002,1LEIC04
L.EIC002,1LEIC05
L.EIC002,1LEIC06
L.EIC002,1LEIC07
L.EIC002,1LEIC08
L.EIC002,1LEIC09
L.EIC002,1LEIC10
L.EIC002,1LEIC11
L.EIC002,1LEIC12
L.EIC002,1LEIC13
L.EIC002,1LEIC14
L.EIC002,1LEIC15
L.EIC003,1LEIC01
L.EIC003,1LEIC02
L.EIC003,1LEIC03
L.EIC003,1LEIC04
L.EIC003,1LEIC05
L.EIC003,1LEIC06
L.EIC003,1LEIC07
L.EIC003,1LEIC08
L.EIC003,1LEIC09
L.EIC003,1LEIC10
L.EIC003,1LEIC11
L.EIC003,1LEIC12
L.EIC003,1LEIC13
L.EIC003,1LEIC14
L.EIC003,1LEIC15
L.EIC003,1LEIC16
L.EIC004,1LEIC01
L.EIC004,1LEIC02
L.EIC004,1LEIC03
L.EIC004,1LEIC04
L.EIC004,1LEIC05
L.EIC004,1LEIC06
L.EIC004,1LEIC07
L.EIC004,1LEIC08
L.EIC004,1LEIC09
L.EIC004,1LEIC10
L.EIC004,1LEIC11
L.EIC004,1LEIC12
L.EIC004,1LEIC13
L.EIC004,1LEIC14
L.EIC004,1LEIC15
L.EIC004,1LEIC16
L.EIC005,1LEIC01
L.EIC005,1LEIC02
L.EIC005,1LEIC03
L.EIC005,1LEIC04
L.EIC005,1LEIC05
L.EIC005,1LEIC06
L.EIC005,1LEIC07
L.EIC005,1LEIC08
L.EIC005,1LEIC09
L.EIC005,1LEIC10
L.EIC005,1LEIC11
L.EIC005,1LEIC12
L.EIC005,1LEIC13
L.EIC005,1LEIC14
L.EIC005,1LEIC15
L.EIC011,2LEIC01
L.EIC011,2LEIC02
L.EIC011,2LEIC03
L.EIC011,2LEIC04
L.EIC011,2LEIC05
L.EIC011,2LEIC06
L.EIC011,2LEIC07
L.EIC011,2LEIC08
L.EIC011,2LEIC09
L.EIC011,2LEIC10
L.EIC011,2LEIC11
L.EIC011,2LEIC12
L.EIC011,2LEIC13
L.EIC011,2LEIC14
L.EIC011,2LEIC15
